Id,Street,Alley,LandContour,Utilities,HouseStyle,YearBuilt,Heating,CentralAir,GarageType,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,SalePrice
16,Pave,,Lvl,AllPub,1.5Unf,1929,GasA,Y,Detchd,TA,TA,Y,48,112,0,0,0,0,132000
17,Pave,,Lvl,AllPub,1Story,1970,GasA,Y,Attchd,TA,TA,Y,0,0,0,0,0,0,149000
18,Pave,,Lvl,AllPub,1Story,1967,GasA,Y,CarPort,TA,TA,Y,0,0,0,0,0,0,90000
19,Pave,,Lvl,AllPub,1Story,2004,GasA,Y,Detchd,TA,TA,Y,0,102,0,0,0,0,159000
20,Pave,,Lvl,AllPub,1Story,1958,GasA,Y,Attchd,TA,TA,Y,0,0,0,0,0,0,139000
21,Pave,,Lvl,AllPub,2Story,2005,GasA,Y,BuiltIn,TA,TA,Y,240,154,0,0,0,0,325300
22,Pave,Grvl,Bnk,AllPub,1.5Unf,1930,GasA,Y,Attchd,TA,TA,N,0,0,205,0,0,0,139400
23,Pave,,Lvl,AllPub,1Story,2002,GasA,Y,Attchd,TA,TA,Y,171,159,0,0,0,0,230000
24,Pave,,Lvl,AllPub,1Story,1976,GasA,Y,Attchd,TA,TA,Y,100,110,0,0,0,0,129900
25,Pave,,Lvl,AllPub,1Story,1968,GasA,Y,Attchd,TA,TA,Y,406,90,0,0,0,0,154000
26,Pave,,Lvl,AllPub,1Story,2007,GasA,Y,Attchd,TA,TA,Y,0,56,0,0,0,0,256300
27,Pave,,Lvl,AllPub,1Story,1951,GasA,Y,Detchd,TA,TA,Y,222,32,0,0,0,0,134800
28,Pave,,Lvl,AllPub,1Story,2007,GasA,Y,Attchd,TA,TA,Y,0,50,0,0,0,0,306000
29,Pave,,Lvl,AllPub,1Story,1957,GasA,Y,Attchd,TA,TA,Y,288,258,0,0,0,0,207500
30,Pave,,Lvl,AllPub,1Story,1927,GasA,N,Detchd,Fa,TA,Y,49,0,87,0,0,0,68500
31,Pave,Pave,Lvl,AllPub,2Story,1920,GasA,N,Detchd,TA,Fa,N,0,54,172,0,0,0,40000
32,Pave,,Lvl,AllPub,1Story,1966,GasA,Y,Attchd,TA,TA,Y,0,65,0,0,0,0,149350
33,Pave,,Lvl,AllPub,1Story,2007,GasA,Y,Attchd,TA,TA,Y,0,30,0,0,0,0,179900
34,Pave,,Lvl,AllPub,1Story,1959,GasA,Y,Attchd,TA,TA,Y,0,38,0,0,0,0,165500
35,Pave,,Lvl,AllPub,1Story,2005,GasA,Y,Attchd,TA,TA,Y,203,47,0,0,0,0,277500
36,Pave,,Lvl,AllPub,2Story,2004,GasA,Y,BuiltIn,TA,TA,Y,113,32,0,0,0,0,309000
37,Pave,,Lvl,AllPub,1Story,1994,GasA,Y,Attchd,TA,TA,Y,392,64,0,0,0,0,145000
38,Pave,,Lvl,AllPub,1Story,1954,GasA,Y,Attchd,TA,TA,Y,0,0,0,0,0,0,153000
39,Pave,,Lvl,AllPub,1Story,1953,GasA,Y,Detchd,TA,TA,Y,0,52,0,0,0,0,109000
40,Pave,,Lvl,AllPub,1Story,1955,GasA,N,,,,N,0,0,0,0,0,0,82000
41,Pave,,Lvl,AllPub,1Story,1965,GasA,Y,Attchd,TA,TA,Y,0,138,0,0,0,0,160000
42,Pave,,Lvl,AllPub,1Story,1959,GasA,Y,Attchd,TA,TA,P,0,104,0,0,0,0,170000
43,Pave,,Lvl,AllPub,SFoyer,1983,GasA,Y,Attchd,TA,Gd,Y,240,0,0,0,0,0,144000
44,Pave,,Lvl,AllPub,1Story,1975,GasA,Y,Detchd,TA,TA,Y,145,0,0,0,0,0,130250
45,Pave,,Lvl,AllPub,1Story,1959,GasA,Y,Attchd,TA,TA,Y,0,0,0,0,0,0,141000
46,Pave,,Lvl,AllPub,1Story,2005,GasA,Y,Attchd,TA,TA,Y,196,82,0,0,0,0,319900
47,Pave,,Lvl,AllPub,1.5Fin,2003,GasA,Y,Attchd,TA,TA,Y,168,43,0,0,198,0,239686
48,Pave,,Lvl,AllPub,1Story,2006,GasA,Y,Attchd,TA,TA,Y,0,146,0,0,0,0,249700
49,Pave,,Lvl,AllPub,2Story,1920,GasA,Y,,,,N,0,0,102,0,0,0,113000
50,Pave,,Lvl,AllPub,1Story,1966,GasA,Y,Attchd,TA,TA,Y,0,0,0,0,0,0,127000
51,Pave,,Lvl,AllPub,2Story,1997,GasA,Y,Attchd,TA,TA,Y,0,75,0,0,0,0,177000
52,Pave,,Lvl,AllPub,1.5Fin,1934,GasA,Y,Detchd,TA,TA,Y,112,0,0,0,0,0,114500
53,Grvl,,Bnk,AllPub,1Story,1963,GasA,N,CarPort,TA,TA,Y,106,0,0,0,0,0,110000
54,Pave,,Low,AllPub,1Story,1981,GasA,Y,Attchd,TA,TA,Y,857,72,0,0,0,0,385000
55,Pave,,Bnk,AllPub,SLvl,1955,GasA,Y,Detchd,TA,TA,Y,0,50,0,0,0,0,130000
56,Pave,,Lvl,AllPub,1Story,1964,GasA,Y,Attchd,TA,TA,Y,0,0,0,407,0,0,180500
57,Pave,Pave,Lvl,AllPub,2Story,1999,GasA,Y,Attchd,TA,TA,Y,115,0,0,0,0,0,172500
58,Pave,,Lvl,AllPub,2Story,2004,GasA,Y,Attchd,TA,TA,Y,0,70,0,0,0,0,196500
59,Pave,,HLS,AllPub,2Story,2006,GasA,Y,BuiltIn,TA,TA,Y,192,0,37,0,0,0,438780
60,Pave,,Bnk,AllPub,1Story,1972,GasA,Y,Detchd,TA,TA,Y,196,0,0,0,0,0,124900
61,Pave,,Lvl,AllPub,1Story,2004,GasA,Y,Detchd,TA,TA,Y,0,50,0,0,0,0,158000
62,Pave,,Lvl,AllPub,2.5Unf,1920,GasA,N,Detchd,TA,TA,N,0,0,144,0,0,0,101000
63,Pave,,Lvl,AllPub,1Story,2006,GasA,Y,Attchd,TA,TA,Y,120,49,0,0,0,0,202500
64,Pave,,Bnk,AllPub,2Story,1921,GasA,Y,Detchd,TA,TA,Y,12,11,64,0,0,0,140000
65,Pave,,Lvl,AllPub,2Story,1997,GasA,Y,Attchd,TA,TA,Y,576,36,0,0,0,0,219500
66,Pave,,Lvl,AllPub,2Story,2004,GasA,Y,BuiltIn,TA,TA,Y,192,151,0,0,0,0,317000
67,Pave,,Lvl,AllPub,1Story,1970,GasA,Y,Attchd,TA,TA,Y,301,0,0,0,0,0,180000
68,Pave,,Lvl,AllPub,1Story,2003,GasA,Y,Attchd,TA,TA,Y,144,29,0,0,0,0,226000
69,Pave,,Lvl,AllPub,1Story,1945,GasA,Y,Attchd,TA,TA,Y,0,0,0,0,0,0,80000
70,Pave,,Lvl,AllPub,1.5Fin,1953,GasW,Y,Attchd,TA,TA,Y,0,21,114,0,0,0,225000
71,Pave,,Lvl,AllPub,1Story,1973,GasA,Y,Attchd,TA,TA,Y,300,0,0,0,0,0,244000
72,Pave,,Lvl,AllPub,1Story,1982,GasA,Y,Detchd,TA,TA,Y,0,0,0,0,0,0,129500
73,Pave,,Lvl,AllPub,2Story,1998,GasA,Y,Attchd,TA,TA,Y,0,94,0,0,291,0,185000
74,Pave,,Lvl,AllPub,1Story,1954,GasA,Y,Attchd,TA,TA,Y,0,0,0,0,0,0,144900
75,Pave,,Lvl,AllPub,2Story,1915,GasA,N,Detchd,TA,TA,Y,0,0,202,0,0,0,107400
76,Pave,,Lvl,AllPub,SLvl,1973,GasA,Y,BuiltIn,TA,TA,Y,120,101,0,0,0,0,91000
77,Pave,,Lvl,AllPub,1Story,1956,GasA,Y,Detchd,TA,TA,Y,0,0,0,0,0,0,135750
78,Pave,,Lvl,AllPub,1.5Fin,1948,GasA,Y,Detchd,TA,TA,Y,0,0,0,0,0,0,127000
79,Pave,,Lvl,AllPub,1Story,1968,GasA,N,,,,Y,0,0,0,0,0,0,136500
80,Pave,Grvl,Lvl,AllPub,2Story,1910,GasA,Y,Detchd,TA,TA,Y,74,0,128,0,0,0,110000
81,Pave,,Lvl,AllPub,2Story,1968,GasA,Y,Attchd,TA,TA,Y,0,72,0,0,252,0,193500
82,Pave,,Lvl,AllPub,1Story,1998,GasA,Y,Attchd,TA,TA,Y,0,199,0,0,0,0,153500
83,Pave,,Lvl,AllPub,1Story,2007,GasA,Y,Attchd,TA,TA,Y,144,99,0,0,0,0,245000
84,Pave,,Lvl,AllPub,1Story,1960,GasA,Y,Detchd,TA,TA,Y,74,0,0,0,0,0,126500
85,Pave,,Lvl,AllPub,SLvl,1995,GasA,Y,BuiltIn,TA,TA,Y,120,72,0,0,0,0,168500
86,Pave,,Lvl,AllPub,2Story,1991,GasA,Y,Attchd,TA,TA,Y,127,82,0,0,0,0,260000
87,Pave,,Lvl,AllPub,2Story,2005,GasA,Y,BuiltIn,TA,TA,Y,100,38,0,0,0,0,174000
88,Pave,Pave,Lvl,AllPub,2Story,2009,GasA,Y,Detchd,TA,TA,Y,0,234,0,0,0,0,164500
89,Pave,,Lvl,AllPub,1.5Fin,1915,GasA,N,,,,N,0,0,156,0,0,0,85000
90,Pave,,Lvl,AllPub,1Story,1994,GasA,Y,,,,Y,0,0,0,0,0,0,123600
91,Pave,,Lvl,AllPub,1Story,1950,GasA,Y,Detchd,TA,TA,Y,0,29,0,0,0,0,109900
92,Pave,,Lvl,AllPub,1Story,1961,GasA,Y,Attchd,TA,TA,Y,0,0,0,0,0,0,98600
93,Pave,Grvl,HLS,AllPub,1Story,1921,GasA,Y,Detchd,TA,TA,Y,0,0,44,0,0,0,163500
94,Pave,,Lvl,AllPub,2.5Unf,1910,GasW,N,Detchd,TA,TA,Y,0,0,0,0,99,0,133900
95,Pave,,Lvl,AllPub,2Story,1997,GasA,Y,Attchd,TA,TA,Y,0,162,0,0,0,0,204750
96,Pave,,Lvl,AllPub,2Story,1993,GasA,Y,BuiltIn,TA,TA,Y,232,63,0,0,0,0,185000
97,Pave,,Lvl,AllPub,1Story,1999,GasA,Y,Attchd,TA,TA,Y,158,29,0,0,0,0,214000
98,Pave,,HLS,AllPub,1Story,1965,GasA,Y,Attchd,TA,TA,P,120,0,0,0,0,0,94750
99,Pave,,Lvl,AllPub,1Story,1920,GasA,N,Basment,Fa,TA,Y,0,0,77,0,0,0,83000
100,Pave,,Lvl,AllPub,1Story,1959,GasA,Y,,,,Y,352,0,0,0,0,0,128950
101,Pave,,Lvl,AllPub,1Story,1977,GasA,Y,Attchd,TA,TA,Y,168,68,0,0,0,0,205000
102,Pave,,Lvl,AllPub,2Story,1985,GasA,Y,Attchd,TA,TA,Y,192,46,0,0,0,0,178000
103,Pave,,Bnk,AllPub,1Story,1979,GasA,Y,Attchd,TA,TA,Y,0,0,0,0,0,0,118964
104,Pave,,Lvl,AllPub,1Story,2009,GasA,Y,Attchd,TA,TA,Y,0,36,0,0,0,0,198900
105,Pave,,Lvl,AllPub,1.5Fin,1931,GasA,Y,Detchd,TA,TA,Y,0,0,0,0,184,0,169500
106,Pave,,Lvl,AllPub,2Story,2003,GasA,Y,Attchd,TA,TA,Y,140,45,0,0,0,0,250000
107,Pave,Grvl,Lvl,AllPub,1Story,1885,GasA,Y,Detchd,Fa,Fa,N,0,0,0,0,0,0,100000
108,Pave,,Lvl,AllPub,1Story,1948,GasA,Y,Detchd,TA,TA,Y,0,0,0,0,0,0,115000
109,Pave,,Lvl,AllPub,1.5Fin,1919,GasW,N,,,,N,0,0,144,0,0,0,115000
110,Pave,,Lvl,AllPub,1Story,1977,GasA,Y,Attchd,TA,TA,Y,0,122,0,0,0,0,190000
111,Pave,,Lvl,AllPub,1.5Fin,1954,GasA,Y,Attchd,TA,TA,Y,182,0,0,0,0,0,136900
112,Pave,,Lvl,AllPub,SLvl,2000,GasA,Y,BuiltIn,TA,TA,Y,180,0,0,0,0,0,180000
113,Pave,,Lvl,AllPub,2Story,2007,GasA,Y,BuiltIn,TA,TA,Y,120,184,0,0,168,0,383970
114,Pave,,Bnk,AllPub,1Story,1953,GasA,Y,Basment,TA,TA,Y,166,120,192,0,0,0,217000
115,Pave,,Lvl,AllPub,2Story,1945,GasA,Y,Detchd,TA,TA,Y,224,0,0,0,0,0,259500
116,Pave,Pave,Lvl,AllPub,2Story,1999,GasA,Y,Detchd,TA,TA,Y,0,32,0,0,0,0,176000
117,Pave,,Lvl,AllPub,1Story,1962,GasA,Y,Attchd,TA,TA,Y,0,20,144,0,0,0,139000
118,Pave,,Lvl,AllPub,1Story,2006,GasA,Y,Attchd,TA,TA,Y,80,64,0,0,0,0,155000
119,Pave,,Lvl,AllPub,2Story,1990,GasA,Y,Attchd,TA,TA,Y,367,0,0,0,0,0,320000
120,Pave,,Lvl,AllPub,2Story,2005,GasA,Y,Attchd,TA,TA,Y,0,24,0,0,0,0,163990
121,Pave,,Low,AllPub,SLvl,1969,GasA,Y,Attchd,TA,TA,Y,0,130,0,130,0,0,180000
122,Pave,,Lvl,AllPub,1.5Fin,1939,GasA,Y,Detchd,TA,TA,P,0,0,140,0,0,0,100000
123,Pave,,Lvl,AllPub,1Story,1958,GasA,Y,Attchd,TA,TA,Y,0,0,0,0,130,0,136000
124,Pave,,Lvl,AllPub,1Story,1993,GasA,Y,Attchd,TA,TA,Y,0,63,0,0,0,0,153900
125,Pave,,Lvl,AllPub,1Story,1979,GasA,Y,Attchd,TA,TA,Y,192,0,0,0,0,0,181000
126,Pave,,Lvl,AllPub,1.5Fin,1935,GasA,N,,,,N,53,0,0,0,0,0,84500
127,Pave,,Lvl,AllPub,1Story,1976,GasA,Y,Attchd,TA,TA,Y,0,205,0,0,0,0,128000
128,Pave,,Bnk,AllPub,1.5Unf,1930,GasA,Y,,,,N,0,0,0,0,0,0,87000
129,Pave,,Lvl,AllPub,2Story,1966,GasA,Y,Attchd,TA,TA,Y,188,108,0,0,0,0,155000
130,Pave,,Lvl,AllPub,1Story,1958,GasA,Y,2Types,TA,TA,Y,0,80,0,180,0,0,150000
131,Pave,,Lvl,AllPub,2Story,1966,GasA,Y,Attchd,TA,TA,Y,105,66,0,0,0,0,226000
132,Pave,,Lvl,AllPub,2Story,2000,GasA,Y,BuiltIn,TA,TA,Y,24,48,0,0,0,0,244000
133,Pave,,Lvl,AllPub,1Story,1959,GasA,Y,Detchd,TA,TA,Y,0,0,0,0,0,0,150750
134,Pave,,Lvl,AllPub,1Story,2001,GasA,Y,Attchd,TA,TA,Y,192,25,0,0,0,0,220000
135,Pave,,Lvl,AllPub,1Story,1968,GasA,Y,Attchd,TA,TA,Y,0,96,180,0,0,0,180000
136,Pave,,Lvl,AllPub,1Story,1970,GasA,Y,Attchd,TA,TA,Y,98,0,0,0,0,0,174000
137,Pave,,Lvl,AllPub,1Story,1967,GasA,Y,Attchd,TA,TA,Y,0,111,0,0,0,0,143000
138,Pave,,Lvl,AllPub,1Story,1988,GasA,Y,2Types,TA,TA,Y,0,0,0,0,0,0,171000
139,Pave,,Lvl,AllPub,2Story,1999,GasA,Y,Attchd,TA,TA,Y,224,106,0,0,0,0,230000
140,Pave,,Lvl,AllPub,2Story,1997,GasA,Y,Attchd,TA,TA,Y,276,99,0,0,0,0,231500
141,Pave,,Lvl,AllPub,1Story,1971,GasA,Y,,,,Y,0,0,0,0,0,0,115000
142,Pave,,Lvl,AllPub,1Story,2005,GasA,Y,Attchd,TA,TA,Y,160,24,0,0,0,0,260000
143,Pave,,Lvl,AllPub,1.5Fin,1952,GasA,Y,Detchd,TA,TA,Y,0,0,0,0,0,0,166000
144,Pave,,Lvl,AllPub,1Story,1999,GasA,Y,Attchd,TA,TA,Y,144,29,0,0,0,0,204000
145,Pave,,Lvl,AllPub,1Story,1963,GasA,Y,Detchd,TA,TA,Y,0,0,0,0,0,0,125000
146,Pave,,Lvl,AllPub,2Story,2004,GasA,Y,Detchd,TA,TA,Y,0,40,0,0,0,0,130000
147,Pave,,Lvl,AllPub,1Story,1931,GasA,Y,Detchd,Fa,TA,Y,48,0,0,0,0,0,105000
148,Pave,,Lvl,AllPub,2Story,2001,GasA,Y,BuiltIn,TA,TA,Y,144,48,0,0,0,0,222500
149,Pave,,Lvl,AllPub,1Story,2004,GasA,Y,,,,Y,0,0,0,0,0,0,141000
150,Pave,,Lvl,AllPub,1.5Fin,1936,GasA,Y,Detchd,Fa,TA,Y,200,114,0,0,0,0,115000
151,Pave,,Lvl,AllPub,1Story,1975,GasA,Y,Attchd,TA,TA,Y,0,0,0,0,0,0,122000
152,Pave,,Lvl,AllPub,1Story,2007,GasA,Y,Attchd,TA,TA,Y,0,102,0,0,0,0,372402
153,Pave,,Lvl,AllPub,2Story,1971,GasA,Y,Attchd,TA,TA,Y,0,66,0,0,0,0,190000
154,Pave,,Lvl,AllPub,1Story,1960,GasA,Y,Attchd,TA,TA,Y,409,0,0,0,0,0,235000
155,Pave,,Lvl,AllPub,1Story,1923,GasA,Y,Detchd,Fa,Fa,Y,0,0,228,0,0,0,125000
156,Pave,,Lvl,AllPub,1.5Fin,1924,Grav,N,,,,N,0,8,128,0,0,0,79000
157,Pave,,Lvl,AllPub,1Story,1950,GasA,Y,Detchd,TA,TA,Y,0,0,0,0,0,0,109500
158,Pave,,Lvl,AllPub,2Story,2009,GasA,Y,BuiltIn,TA,TA,Y,0,75,0,0,0,0,269500
159,Pave,,Lvl,AllPub,2Story,2004,GasA,Y,Attchd,TA,TA,Y,0,136,0,0,0,0,254900
160,Pave,,HLS,AllPub,2Story,2005,GasA,Y,Attchd,TA,TA,Y,239,132,0,168,0,0,320000
161,Pave,,Lvl,AllPub,1Story,1984,GasA,Y,Attchd,TA,TA,Y,0,0,0,0,0,0,162500
162,Pave,,Lvl,AllPub,2Story,2003,GasA,Y,BuiltIn,TA,TA,Y,400,0,0,0,0,0,412500
163,Pave,,Lvl,AllPub,1Story,2005,GasA,Y,Attchd,TA,TA,Y,0,70,0,0,0,0,220000
164,Pave,,Lvl,AllPub,1.5Unf,1956,GasA,Y,,,,Y,0,0,0,0,0,0,103200
165,Pave,Pave,Lvl,AllPub,1Story,1926,GasA,Y,Detchd,TA,TA,Y,0,0,183,0,0,0,152000
166,Pave,,Lvl,AllPub,1.5Fin,1940,GasA,Y,,,,Y,140,0,0,0,0,0,127500
167,Pave,,Lvl,AllPub,1Story,1955,GasA,Y,Attchd,TA,TA,Y,476,0,0,0,142,0,190000
168,Pave,,Lvl,AllPub,2Story,2007,GasA,Y,Attchd,TA,TA,Y,178,120,0,0,0,0,325624
169,Pave,,Lvl,AllPub,2Story,2004,GasA,Y,Attchd,TA,TA,Y,100,48,0,0,0,0,183500
170,Pave,,Lvl,AllPub,1Story,1981,GasA,Y,Attchd,TA,TA,Y,574,64,0,0,0,0,228000
171,Pave,,Lvl,AllPub,1.5Fin,1941,GasA,Y,Detchd,TA,TA,Y,237,0,0,0,0,0,128500
172,Pave,,Lvl,AllPub,1Story,1960,GasA,Y,Attchd,TA,TA,P,210,62,0,0,0,0,215000
173,Pave,,Lvl,AllPub,2Story,1987,GasA,Y,Attchd,Gd,TA,Y,441,35,0,0,0,0,239000
174,Pave,,Lvl,AllPub,1Story,1961,GasA,Y,Attchd,TA,TA,Y,0,20,0,0,0,0,163000
175,Pave,,Lvl,AllPub,1Story,1986,GasA,Y,Attchd,TA,TA,Y,192,0,0,0,0,0,184000
176,Pave,,Lvl,AllPub,1Story,1950,GasA,Y,Attchd,TA,TA,Y,0,29,39,0,0,0,243000
177,Pave,,Lvl,AllPub,2Story,1988,GasA,Y,Attchd,TA,TA,Y,0,228,0,0,192,0,211000
178,Pave,,Lvl,AllPub,1.5Fin,1958,GasA,Y,Attchd,TA,TA,Y,0,0,0,0,0,0,172500
179,Pave,,Lvl,AllPub,1Story,2008,GasA,Y,Attchd,TA,TA,Y,0,60,0,0,0,0,501837
180,Pave,,Lvl,AllPub,1Story,1923,GasA,Y,Detchd,Fa,TA,N,0,0,184,0,0,0,100000
181,Pave,,Lvl,AllPub,2Story,2000,GasA,Y,Detchd,TA,TA,Y,0,0,0,0,0,0,177000
182,Pave,,Lvl,AllPub,2Story,1920,GasA,Y,Detchd,Fa,TA,Y,0,0,40,0,0,0,200100
183,Pave,,Lvl,AllPub,1Story,1957,GasA,Y,Attchd,TA,TA,Y,116,0,0,180,0,0,120000
184,Pave,,Lvl,AllPub,1.5Fin,2003,GasA,Y,Detchd,TA,TA,N,280,238,0,0,0,0,200000
185,Pave,,Lvl,AllPub,1.5Fin,1908,GasA,Y,Attchd,TA,TA,Y,104,0,0,0,0,0,127000
186,Pave,,Lvl,AllPub,2.5Fin,1892,GasA,Y,Detchd,Ex,TA,Y,0,260,0,0,410,0,475000
187,Pave,,Lvl,AllPub,SLvl,1990,GasA,Y,Attchd,TA,TA,Y,168,27,0,0,0,0,173000
188,Pave,,Lvl,AllPub,1.5Fin,1916,GasA,Y,Detchd,Fa,Fa,N,0,0,0,140,0,0,135000
189,Pave,,Bnk,AllPub,SFoyer,1979,GasA,Y,Detchd,TA,TA,Y,120,0,0,0,0,0,153337
190,Pave,,Lvl,AllPub,1Story,2001,GasA,Y,Attchd,TA,TA,Y,0,120,0,0,224,0,286000
191,Pave,,Bnk,AllPub,2Story,1932,GasA,Y,Detchd,TA,TA,Y,0,74,0,0,0,0,315000
192,Pave,,Lvl,AllPub,2Story,1972,GasA,Y,Attchd,TA,TA,Y,0,32,0,0,0,0,184000
193,Pave,,Lvl,AllPub,1Story,1999,GasA,Y,Attchd,TA,TA,Y,0,35,0,0,0,0,192000
194,Pave,,Lvl,AllPub,2Story,2004,GasA,Y,Detchd,TA,TA,Y,0,40,0,0,0,0,130000
195,Pave,,Lvl,AllPub,1Story,1972,GasA,Y,Detchd,TA,TA,Y,0,0,0,0,0,0,127000
196,Pave,,Lvl,AllPub,2Story,1976,GasA,Y,Attchd,TA,TA,Y,87,0,0,0,0,0,148500
197,Pave,,Lvl,AllPub,1Story,2007,GasA,Y,Attchd,TA,TA,Y,171,138,0,0,266,0,311872
198,Pave,,Lvl,AllPub,2Story,1918,GasA,Y,Detchd,TA,TA,Y,0,16,552,0,0,512,235000
199,Pave,,Lvl,AllPub,2.5Fin,1912,GasA,Y,,,,Y,0,198,30,0,0,0,104000
200,Pave,,Lvl,AllPub,1Story,2004,GasA,Y,Attchd,TA,TA,Y,0,26,0,0,170,0,274900
201,Pave,,Lvl,AllPub,1Story,2003,GasA,Y,Attchd,TA,TA,Y,132,64,0,0,0,0,140000
202,Pave,,Lvl,AllPub,1Story,1977,GasA,Y,Detchd,TA,TA,Y,238,83,0,0,0,0,171500
203,Pave,,Lvl,AllPub,1.5Fin,1924,GasA,Y,Attchd,TA,TA,Y,0,0,126,0,0,0,112000
204,Pave,,Lvl,AllPub,1Story,2004,GasA,Y,Attchd,TA,TA,Y,149,0,0,0,0,0,149000
205,Pave,Grvl,Lvl,AllPub,1.5Fin,1947,GasA,Y,Detchd,TA,TA,Y,0,35,0,0,0,0,110000
206,Pave,,Lvl,AllPub,1Story,1990,GasA,Y,Attchd,TA,TA,Y,0,34,0,508,0,0,180500
207,Pave,,Lvl,AllPub,1Story,1962,GasA,Y,Attchd,TA,TA,Y,0,30,0,0,0,0,143900
208,Pave,,Lvl,AllPub,1Story,1960,GasA,Y,Attchd,TA,TA,Y,355,0,0,0,0,0,141000
209,Pave,,Low,AllPub,2Story,1988,GasA,Y,Attchd,TA,TA,Y,60,55,0,0,154,0,277000
210,Pave,,Lvl,AllPub,1Story,1964,GasA,Y,Attchd,TA,Gd,Y,0,0,0,0,0,0,145000
211,Pave,,Lvl,AllPub,1Story,1925,GasA,N,,,,Y,0,0,96,0,0,0,98000
212,Pave,,Lvl,AllPub,1Story,2009,GasA,Y,Attchd,TA,TA,Y,100,22,0,0,0,0,186000
213,Pave,,Lvl,AllPub,2Story,2009,GasA,Y,Attchd,TA,TA,Y,168,108,0,0,0,0,252678
214,Pave,,Lvl,AllPub,1Story,1995,GasA,Y,Attchd,TA,TA,Y,224,0,0,0,0,0,156000
215,Pave,,Lvl,AllPub,2Story,1977,GasA,Y,Attchd,TA,TA,Y,0,36,0,0,0,0,161750
216,Pave,,Lvl,AllPub,1Story,1957,GasA,Y,Attchd,TA,TA,Y,0,0,0,0,0,0,134450
217,Pave,,Lvl,AllPub,1Story,2004,GasA,Y,Attchd,TA,TA,Y,139,98,0,0,0,0,210000
218,Pave,Grvl,Lvl,AllPub,2Story,1925,GasA,N,Detchd,TA,TA,Y,0,172,60,0,0,0,107000
219,Pave,,Lvl,AllPub,1.5Fin,1939,GasA,Y,Attchd,TA,TA,Y,0,119,150,0,0,0,311500
220,Pave,,Lvl,AllPub,1Story,2005,GasA,Y,Attchd,TA,TA,Y,108,0,0,0,0,0,167240
221,Pave,,Lvl,AllPub,1Story,2006,GasA,Y,Attchd,TA,TA,Y,351,33,0,0,0,0,204900
222,Pave,,Lvl,AllPub,2Story,2002,GasA,Y,BuiltIn,TA,TA,Y,120,46,0,0,0,0,200000
223,Pave,,Lvl,AllPub,2Story,1975,GasA,Y,Attchd,TA,TA,Y,209,208,0,0,0,0,179900
224,Pave,,Lvl,AllPub,1Story,1971,GasA,Y,Detchd,TA,TA,Y,216,0,0,0,0,0,97000
225,Pave,,Lvl,AllPub,1Story,2003,GasA,Y,Attchd,TA,TA,Y,248,105,0,0,0,0,386250
226,Pave,,Lvl,AllPub,2Story,1971,GasA,Y,Detchd,TA,TA,Y,0,0,0,0,0,0,112000
227,Pave,,Lvl,AllPub,2Story,1995,GasA,Y,Attchd,TA,TA,Y,224,114,0,0,0,0,290000
228,Pave,,Lvl,AllPub,2Story,1970,GasA,Y,Detchd,TA,TA,Y,0,0,0,0,0,0,106000
